orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber
10100,1/6/2003,1/13/2003,1/10/2003,Shipped,NULL,363
10101,1/9/2003,1/18/2003,1/11/2003,Shipped,Check on availability.,128
10102,1/10/2003,1/18/2003,1/14/2003,Shipped,NULL,181
10103,1/29/2003,2/7/2003,2/2/2003,Shipped,NULL,121
10104,1/31/2003,2/9/2003,2/1/2003,Shipped,NULL,141
10105,2/11/2003,2/21/2003,2/12/2003,Shipped,NULL,145
10106,2/17/2003,2/24/2003,2/21/2003,Shipped,NULL,278
10107,2/24/2003,3/3/2003,2/26/2003,Shipped,Difficult to negotiate with customer. We need more marketing materials,131
10108,3/3/2003,3/12/2003,3/8/2003,Shipped,NULL,385
10109,3/10/2003,3/19/2003,3/11/2003,Shipped,Customer requested that FedEx Ground is used for this shipping,486
10110,3/18/2003,3/24/2003,3/20/2003,Shipped,NULL,187
10111,3/25/2003,3/31/2003,3/30/2003,Shipped,NULL,129
10112,3/24/2003,4/3/2003,3/29/2003,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",144
10113,3/26/2003,4/2/2003,3/27/2003,Shipped,NULL,124
10114,4/1/2003,4/7/2003,4/2/2003,Shipped,NULL,172
10115,4/4/2003,4/12/2003,4/7/2003,Shipped,NULL,424
10116,4/11/2003,4/19/2003,4/13/2003,Shipped,NULL,381
10117,4/16/2003,4/24/2003,4/17/2003,Shipped,NULL,148
10118,4/21/2003,4/29/2003,4/26/2003,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,216
10119,4/28/2003,5/5/2003,5/2/2003,Shipped,NULL,382
